"date","totalTests","totalCases","totalDeaths","totalIntensiveCare","totalIntubated","totalRecovered","tests","cases","deaths","recovered"
"11/03/2020","0","1","0","0","0","0","0","1","0","0"
"12/03/2020","0","1","0","0","0","0","0","0","0","0"
"13/03/2020","0","5","0","0","0","0","0","4","0","0"
"14/03/2020","0","6","0","0","0","0","0","1","0","0"
"15/03/2020","0","18","1","0","0","0","0","12","1","0"
"16/03/2020","0","47","1","0","0","0","0","29","0","0"
"17/03/2020","8002","98","2","0","0","0","0","51","1","0"
"18/03/2020","10017","191","3","0","0","0","2015","93","2","0"
"19/03/2020","11998","359","4","0","0","0","1981","168","1","0"
"20/03/2020","15624","670","9","0","0","0","3656","311","5","0"
"21/03/2020","18604","947","21","0","0","0","2952","277","12","0"
"22/03/2020","20345","1236","30","0","0","0","1738","289","9","0"
"23/03/2020","24017","1529","37","0","0","0","3672","293","7","0"
"24/03/2020","27969","1872","44","136","102","26","3952","343","7","0"
"25/03/2020","33004","2433","59","0","0","0","5035","561","15","0"
"26/03/2020","40290","3629","75","0","0","0","7286","1196","16","0"
"27/03/2020","47823","5698","92","344","241","42","7533","2069","17","16"
"28/03/2020","55464","7402","108","445","309","70","7641","1704","16","28"
"29/03/2020","65446","9217","131","568","394","105","9982","1815","23","35"
"30/03/2020","76981","10827","168","725","523","162","11535","1610","37","57"
"31/03/2020","92403","13531","214","847","622","243","15422","2704","46","81"
"01/04/2020","106799","15679","277","979","692","333","14397","2148","63","90"
"02/04/2020","125556","18315","356","1101","783","415","18757","2456","79","82"
"03/04/2020","141716","20921","425","1251","867","484","16160","2786","69","69"
"04/04/2020","161380","23934","501","1311","909","786","19664","3013","76","302"
"05/04/2020","181446","27069","574","1381","935","1042","20065","3135","73","256"
"06/04/2020","202845","30217","649","1415","966","1326","21400","3148","75","284"
"07/04/2020","222868","34109","725","1474","987","1582","20023","3892","76","256"
"08/04/2020","247768","38226","812","1492","995","1846","24900","4117","87","264"
"09/04/2020","276346","42282","908","1552","1017","2142","28578","4056","96","296"
"10/04/2020","307210","47029","1006","1667","1062","2423","30864","4747","98","281"
"11/04/2020","340380","52167","1101","1626","1021","2965","33170","5138","95","542"
"12/04/2020","376100","56956","1198","1665","978","3446","35720","4789","97","481"
"13/04/2020","410556","61049","1296","1786","1063","3957","34456","4093","98","511"
"14/04/2020","443626","65111","1403","1809","1087","4799","33070","4062","107","842"
"15/04/2020","477716","69392","1518","1820","1052","5674","34090","4281","115","875"
"16/04/2020","518143","74193","1643","1854","1040","7089","40427","4801","125","1415"
